section,accuracy,balanced_accuracy,precision,recall,specificity,auc,aupr,f1,mcc,tp,tn,fp,fn,total,balanced_downsample_accuracy_mean,balanced_downsample_accuracy_std,balanced_downsample_balanced_accuracy_mean,balanced_downsample_balanced_accuracy_std,balanced_downsample_precision_mean,balanced_downsample_precision_std,balanced_downsample_recall_mean,balanced_downsample_recall_std,balanced_downsample_specificity_mean,balanced_downsample_specificity_std,balanced_downsample_auc_mean,balanced_downsample_auc_std,balanced_downsample_aupr_mean,balanced_downsample_aupr_std,balanced_downsample_f1_mean,balanced_downsample_f1_std,balanced_downsample_mcc_mean,balanced_downsample_mcc_std,balanced_downsample_tp_mean,balanced_downsample_tp_std,balanced_downsample_tn_mean,balanced_downsample_tn_std,balanced_downsample_fp_mean,balanced_downsample_fp_std,balanced_downsample_fn_mean,balanced_downsample_fn_std,balanced_downsample_total_mean,balanced_downsample_total_std,repeat,fold
all,0.979746835443038,0.961740554119315,0.9126637554585153,0.9372197309417041,0.986261377296926,0.9934449865963718,0.9753189518923322,0.9247787610619469,0.9131866345107015,836,5743,80,56,6715,0.9616928251121076,0.001675412458688114,0.9616928251121076,0.0016754124586881303,0.9854660729219995,0.003476930600021593,0.9372197309417042,1.1158161231197418e-16,0.9861659192825114,0.0033508249173762575,0.9934132246777534,0.0005618039532999239,0.9941960884279375,0.0005751220011559285,0.960734618369935,0.0016511213539597168,0.9244994748307298,0.003509153342208819,836.0,0.0,879.66,2.988935826299617,12.34,2.988935826299617,56.0,0.0,1784.0,0.0,0,3
non-annotated,0.9784615384615385,0.9158341803397706,0.7936507936507936,0.8450704225352113,0.98659793814433,0.9842621363922366,0.892147694610663,0.8185538881309686,0.8075665067660195,300,5742,78,55,6175,0.9157042253521125,0.002725615773157929,0.9157042253521125,0.002725615773157929,0.984129638081007,0.006222188302999552,0.8450704225352115,2.2316322462394835e-16,0.9863380281690141,0.005451231546315857,0.9842872445943266,0.0020138723077934993,0.9856581685828897,0.0022456087077312482,0.909305295764863,0.0026617414808780913,0.8398483215672731,0.00615515737587735,300.0,0.0,350.15,1.935187198942132,4.85,1.9351871989421323,55.0,0.0,710.0,0.0,0,3
3UTRATG,0.8571428571428571,0.9242424242424243,0.2857142857142857,1.0,0.8484848484848485,1.0,1.0,0.4444444444444444,0.4923659639173309,2,28,5,0,35,0.93,0.11827890340165903,0.93,0.11827890340165903,0.9083333333333333,0.15237550344995549,1.0,0.0,0.86,0.23655780680331803,1.0,0.0,1.0,0.0,0.9446666666666665,0.09238333255885572,0.8801110699893028,0.2061459009383603,2.0,0.0,1.72,0.47311561360663607,0.28,0.47311561360663607,0.0,0.0,4.0,0.0,0,4
3UTRnonATG,0.994413407821229,0.49859943977591037,0.0,0.0,0.9971988795518207,0.876750700280112,0.022222222222222223,0.0,-0.0028011204481792717,0,356,1,1,358,0.495,0.049999999999999996,0.495,0.049999999999999996,0.0,0.0,0.0,0.0,0.99,0.09999999999999999,0.92,0.2726599243442907,0.96,0.13632996217214535,0.0,0.0,-0.01,0.09999999999999999,0.0,0.0,0.99,0.09999999999999999,0.01,0.09999999999999999,1.0,0.0,2.0,0.0,0,4
5UTRATG,0.8571428571428571,0.8664108488749518,0.7788944723618091,0.9337349397590361,0.7990867579908676,0.9572536722231392,0.9506902070483766,0.8493150684931506,0.7262588051069199,155,175,44,11,385,0.8664457831325302,0.007648994760940119,0.8664457831325302,0.007648994760940117,0.8231282592980578,0.011129934147651536,0.933734939759036,1.1158161231197418e-16,0.7991566265060241,0.01529798952188025,0.9572967774713312,0.003053229606824323,0.960882454915849,0.002934787784851303,0.8749104943720105,0.0062788137512080604,0.7396802095920957,0.013902265916679648,155.0,0.0,132.66,2.5394662606321208,33.34,2.5394662606321208,11.0,0.0,332.0,0.0,0,4
5UTRnonATG,0.9890666126746305,0.8565874716085071,0.71875,0.71875,0.9944249432170142,0.9845804081492188,0.7726926860520689,0.71875,0.7131749432170142,69,4816,27,27,4939,0.85671875,0.0034321392236728115,0.8567187500000002,0.003432139223672807,0.9927505030181086,0.00933150058788289,0.71875,0.0,0.9946875,0.006864278447345619,0.9842871093750002,0.004880843999127306,0.9847402647805596,0.006118777128033982,0.8337995159735292,0.0033077346407373288,0.7422926725888273,0.008629301402043,69.0,0.0,95.49,0.6589707309451797,0.51,0.6589707309451796,27.0,0.0,192.0,0.0,0,4
Annotated,0.9944444444444445,0.9944444444444445,1.0,0.9944444444444445,0.0,,,0.9972144846796658,0.0,537,0,0,3,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
CDSATG,0.9010416666666666,0.9144249512670566,0.7714285714285715,0.9473684210526315,0.8814814814814815,0.9759584145549058,0.9612338881835354,0.8503937007874016,0.7867762968342745,54,119,16,3,192,0.9145614035087718,0.01609370788608607,0.9145614035087718,0.016093707886086096,0.8898369100496523,0.02682703420366434,0.9473684210526316,1.1158161231197418e-16,0.8817543859649121,0.032187415772172136,0.9760726377346874,0.004011291529991286,0.9801801622259052,0.0033405949756812295,0.9174955380892896,0.014275630956054292,0.8312779028510164,0.030485105604622444,54.0,0.0,50.26,1.8346826990138123,6.74,1.8346826990138123,3.0,0.0,114.0,0.0,0,4
CDSnonATG,0.9794275491949911,0.6131057327563177,0.2857142857142857,0.23529411764705882,0.9909173478655767,0.8046161243789068,0.2384755167675342,0.25806451612903225,0.24893397783797463,4,1091,10,13,1118,0.6138235294117647,0.00994110791145974,0.6138235294117647,0.00994110791145974,0.9740000000000001,0.06759953379792621,0.2352941176470588,2.7895403077993544e-17,0.9923529411764708,0.019882215822919484,0.8126989619377163,0.04571120003721059,0.8422444366842684,0.04377568859093088,0.3787012987012986,0.005852773488997931,0.35006682049595483,0.03921176262778843,4.0,0.0,16.87,0.3379976689896311,0.13,0.3379976689896311,13.0,0.0,34.0,0.0,0,4
all,0.9787234042553191,0.9593076047433197,0.8885281385281385,0.9340159271899886,0.9845992822966507,0.9933358304619756,0.9724546740630935,0.9107043815862451,0.8989966836858282,821,6585,103,58,7567,0.9591808873720137,0.001972335549970569,0.9591808873720137,0.0019723355499705574,0.9835329815520805,0.004076061836111438,0.9340159271899887,1.1158161231197418e-16,0.9843458475540389,0.0039446710999411225,0.9933222673919712,0.0005758362118279834,0.9941020439643851,0.0005449553955109192,0.9581310375786122,0.001936375649473686,0.9195350544618512,0.004128348068603604,821.0,0.0,865.24,3.46736589684825,13.76,3.4673658968482495,58.0,0.0,1758.0,0.0,0,4
non-annotated,0.9775152981357621,0.911178697195523,0.7338501291989664,0.8377581120943953,0.9845992822966507,0.9831861053478428,0.875075767281433,0.7823691460055097,0.7724476583152602,284,6585,103,55,7027,0.9106194690265486,0.003281336344503017,0.9106194690265486,0.0032813363445030213,0.9807202082783055,0.007524788632576613,0.8377581120943951,2.2316322462394835e-16,0.9834808259587021,0.0065626726890060365,0.9828173266852882,0.002072161731278146,0.9841478839095942,0.0022351691533290647,0.903606489512837,0.0031960973643302493,0.8301255013431379,0.0074405371987425984,284.0,0.0,333.4,2.2247460415730487,5.6,2.2247460415730487,55.0,0.0,678.0,0.0,0,4
