section,accuracy,balanced_accuracy,precision,recall,specificity,auc,aupr,f1,mcc,tp,tn,fp,fn,total,balanced_downsample_accuracy_mean,balanced_downsample_accuracy_std,balanced_downsample_balanced_accuracy_mean,balanced_downsample_balanced_accuracy_std,balanced_downsample_precision_mean,balanced_downsample_precision_std,balanced_downsample_recall_mean,balanced_downsample_recall_std,balanced_downsample_specificity_mean,balanced_downsample_specificity_std,balanced_downsample_auc_mean,balanced_downsample_auc_std,balanced_downsample_aupr_mean,balanced_downsample_aupr_std,balanced_downsample_f1_mean,balanced_downsample_f1_std,balanced_downsample_mcc_mean,balanced_downsample_mcc_std,balanced_downsample_tp_mean,balanced_downsample_tp_std,balanced_downsample_tn_mean,balanced_downsample_tn_std,balanced_downsample_fp_mean,balanced_downsample_fp_std,balanced_downsample_fn_mean,balanced_downsample_fn_std,balanced_downsample_total_mean,balanced_downsample_total_std,repeat,fold
all,0.9768732654949122,0.9617194261639206,0.8697478991596639,0.9419795221843004,0.9814593301435407,0.9886259022323106,0.9669223646299592,0.9044238121245222,0.8922104676584584,828,6564,124,51,7567,0.9617804323094425,0.002216661409262321,0.9617804323094425,0.002216661409262316,0.9808425468308577,0.0045283374538533,0.9419795221843004,0.0,0.9815813424345846,0.004433322818524617,0.9885670253067077,0.0006240987433663402,0.9911298412749868,0.0005715882589503868,0.9610132282158205,0.002173390559856582,0.9242957522758902,0.004599667068874131,828.0,0.0,862.81,3.8968907574831473,16.19,3.8968907574831464,51.0,0.0,1758.0,0.0,0,4
non-annotated,0.9750960580617618,0.9155084261337172,0.6990291262135923,0.8495575221238938,0.9814593301435407,0.9708205865125404,0.8591036897970781,0.7669773635153129,0.7579564970771131,288,6564,124,51,7027,0.9152507374631269,0.0037700850101960626,0.9152507374631269,0.003770085010196062,0.9781343904833529,0.00847821763995093,0.8495575221238932,5.579080615598709e-16,0.9809439528023599,0.00754017002039214,0.970536411969962,0.0025123051255780534,0.9762568034727653,0.0027117450453864387,0.9093064721635336,0.003666404145984938,0.8377966487282902,0.008445092017945794,288.0,0.0,332.54,2.556117636912936,6.46,2.556117636912936,51.0,0.0,678.0,0.0,0,4
3UTRATG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,25,0,0,26,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0
3UTRnonATG,1.0,1.0,0.0,0.0,1.0,,,0.0,0.0,0,253,0,0,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
5UTRATG,0.8568075117370892,0.8679376005721438,0.7702127659574468,0.9627659574468085,0.773109243697479,0.9571786161273019,0.9472262979277309,0.8557919621749409,0.7347184670765787,181,184,54,7,426,0.8668882978723406,0.007592137148314803,0.8668882978723406,0.007592137148314805,0.8079858277755315,0.010342704936116071,0.9627659574468085,0.0,0.7710106382978725,0.015184274296629614,0.9568667949298324,0.003082445679620622,0.9566274824021285,0.003534237177849814,0.8785760035004363,0.006101372528247906,0.7477037646534199,0.01323260718876988,181.0,0.0,144.95,2.8546435677663684,43.05,2.8546435677663684,7.0,0.0,376.0,0.0,1,0
5UTRnonATG,0.9859822309970385,0.7670280058748915,0.5064935064935064,0.5416666666666666,0.9923893450831164,0.9731679907425952,0.6118670174354757,0.5234899328859061,0.5166842871413774,39,4955,38,33,5065,0.7672222222222221,0.005711203473686207,0.767222222222222,0.005711203473686162,0.9872509521108498,0.019852844861716276,0.5416666666666666,0.0,0.9927777777777779,0.011422406947372359,0.9718576388888888,0.008985336293536064,0.9726165010106853,0.010276097857837835,0.6994632998998647,0.005093929601266219,0.5990014559128598,0.01639863811156147,39.0,0.0,71.48,0.8224133002108102,0.52,0.8224133002108103,33.0,0.0,144.0,0.0,1,0
Annotated,0.9981378026070763,0.5,0.9981378026070763,1.0,0.0,0.9048507462686567,0.9998140077862814,0.9990680335507922,0.0,536,0,1,0,537,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.93,0.25643239997624284,0.965,0.12821619998812142,0.6666666666666669,2.2316322462394835e-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1,0
CDSATG,0.92,0.9217032967032968,0.8804347826086957,0.9642857142857143,0.8791208791208791,0.9756671899529042,0.9734805320923199,0.9204545454545454,0.8438482831951346,81,80,11,3,175,0.9215476190476192,0.004507070115714532,0.9215476190476193,0.004507070115714487,0.8884136662067779,0.007414958407278704,0.9642857142857139,4.463264492478967e-16,0.8788095238095238,0.009014140231429007,0.9756179138321999,0.0019158663064048438,0.9752737004652329,0.0022757779219069016,0.9247802493599684,0.004007551526279898,0.8462203875182879,0.00840803565296623,81.0,0.0,73.82,0.7571877794400366,10.18,0.7571877794400365,3.0,0.0,168.0,0.0,1,0
CDSnonATG,0.9762202753441802,0.6138107416879796,0.4,0.23529411764705882,0.9923273657289002,0.8421844441101248,0.283587021149224,0.2962962962962963,0.2954626473973546,4,776,6,13,799,0.614705882352941,0.008867980722875403,0.614705882352941,0.008867980722875403,0.98,0.06030226891555271,0.2352941176470588,2.7895403077993544e-17,0.9941176470588234,0.017735961445750802,0.8374740484429064,0.05099328386867781,0.8408473517310577,0.044122662383306456,0.37922077922077924,0.005220975663684208,0.3535471784592215,0.03497891363721589,4.0,0.0,16.9,0.3015113445777636,0.1,0.30151134457776363,13.0,0.0,34.0,0.0,1,0
all,0.977200933937646,0.9602029611645913,0.884453781512605,0.9376391982182628,0.9827667241109196,0.9941250195832682,0.9741227020407697,0.9102702702702703,0.8977263504764168,842,6273,110,56,7281,0.9601391982182629,0.0019643320847169865,0.9601391982182629,0.0019643320847169726,0.9818375631903584,0.004030175716095791,0.9376391982182628,0.0,0.982639198218263,0.003928664169433961,0.9941951676827,0.0005522458231744135,0.994703488151973,0.0005641728758366799,0.9592255168521391,0.0019255105652295084,0.9212193624979522,0.00409165337160677,842.0,0.0,882.41,3.5279404241516934,15.59,3.5279404241516943,56.0,0.0,1796.0,0.0,1,0
non-annotated,0.9755338078291815,0.9141122909564365,0.7373493975903614,0.8453038674033149,0.9829207145095581,0.9857757747532339,0.882897264641356,0.7876447876447876,0.776764207165525,306,6273,109,56,6744,0.914060773480663,0.0033522600399026204,0.9140607734806627,0.003352260039902624,0.9801366041677068,0.0075961073753957695,0.845303867403315,1.1158161231197418e-16,0.982817679558011,0.006704520079805249,0.9859304508409389,0.0020173422016394166,0.9865855838552697,0.0022178184452039265,0.907727210494904,0.003262891069395709,0.8360905529228085,0.007544312859734822,306.0,0.0,355.78,2.427036268889497,6.22,2.4270362688894966,56.0,0.0,724.0,0.0,1,0
